,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,State
3972,670,773,951,1348,1618,Lubbock County,298040,TX
3973,534,616,757,1075,1284,Lynn County,5785,TX
3974,658,676,890,1100,1299,McCulloch County,8145,TX
3975,673,716,915,1215,1300,McLennan County,245720,TX
3976,608,652,822,1084,1200,McMullen County,600,TX
3977,648,732,876,1083,1279,Madison County,13980,TX
3978,560,606,757,1011,1105,Marion County,10140,TX
3979,611,615,757,1075,1296,Martin County,5545,TX
3980,602,644,813,1133,1187,Mason County,4120,TX
3981,670,675,888,1229,1520,Matagorda County,36745,TX
3982,599,603,779,988,1056,Maverick County,57470,TX
3983,637,692,910,1170,1309,Medina County,48550,TX
3984,560,600,757,1075,1105,Menard County,2125,TX
3985,1158,1165,1433,1771,2453,Midland County,159885,TX
3986,560,615,757,1073,1296,Milam County,24480,TX
3987,560,600,757,936,1105,Mills County,4885,TX
3988,560,664,757,1064,1262,Mitchell County,8775,TX
3989,676,694,913,1230,1333,Montague County,19405,TX
3990,944,1014,1208,1603,2058,Montgomery County,535185,TX
3991,659,677,891,1101,1301,Moore County,22015,TX
3992,503,575,757,1075,1258,Morris County,12530,TX
3993,560,600,757,995,1105,Motley County,1115,TX
3994,602,690,835,1095,1284,Nacogdoches County,65410,TX
3995,578,647,851,1207,1406,Navarro County,48240,TX
3996,560,600,757,1065,1105,Newton County,14185,TX
3997,579,595,783,1112,1149,Nolan County,14990,TX
3998,822,909,1118,1474,1720,Nueces County,358485,TX
3999,619,663,837,1035,1222,Ochiltree County,10485,TX
4000,676,775,988,1221,1546,Oldham County,2085,TX
4001,747,798,982,1281,1332,Orange County,83910,TX
4002,580,638,839,1116,1199,Palo Pinto County,28110,TX
4003,618,635,835,1032,1132,Panola County,23575,TX
4004,939,1064,1269,1685,2098,Parker County,125965,TX
4005,564,669,762,1010,1113,Parmer County,9870,TX
4006,623,805,926,1315,1400,Pecos County,15805,TX
4007,556,692,788,1119,1148,Polk County,46975,TX
4008,621,713,908,1230,1421,Potter County,121230,TX
4009,560,600,757,1075,1105,Presidio County,7190,TX
4010,572,650,773,1041,1129,Rains County,11245,TX
4011,621,713,908,1230,1421,Randall County,130550,TX
4012,753,807,1018,1258,1486,Reagan County,3735,TX
4013,641,687,867,1221,1266,Real County,3360,TX
4014,560,575,757,936,1105,Red River County,12355,TX
4015,619,734,836,1188,1221,Reeves County,14790,TX
4016,575,681,777,960,1230,Refugio County,7295,TX
4017,608,652,822,1084,1200,Roberts County,890,TX
4018,759,841,975,1385,1582,Robertson County,16725,TX
4019,1076,1150,1362,1736,2280,Rockwall County,90415,TX
4020,589,605,796,984,1079,Runnels County,10265,TX
4021,638,642,845,1070,1289,Rusk County,53025,TX
4022,560,664,757,1075,1105,Sabine County,10430,TX
4023,614,631,830,1026,1212,San Augustine County,8405,TX
4024,560,664,757,1023,1027,San Jacinto County,27435,TX
4025,822,909,1118,1474,1720,San Patricio County,66865,TX
4026,609,625,823,1017,1202,San Saba County,5850,TX
4027,608,652,822,1084,1200,Schleicher County,3120,TX
4028,647,761,874,1080,1443,Scurry County,17345,TX
4029,608,652,822,1084,1200,Shackelford County,3350,TX
4030,560,597,757,1068,1221,Shelby County,25690,TX
4031,560,664,757,1075,1150,Sherman County,3065,TX
4032,852,857,1037,1308,1669,Smith County,222275,TX
4033,616,694,833,1183,1358,Somervell County,8650,TX
