,Year,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom,County,Population,acs_2019_2,State,fmr_type,fmr_pct_chg,fmr_dollar_chg
164,2020,433,478,630,898,1106,Phillips County,19520,650,AR,40,-0.030769,-20
165,2020,538,553,630,824,1041,Pike County,10895,650,AR,40,-0.030769,-20
166,2020,475,478,630,833,911,Poinsett County,24100,650,AR,40,-0.030769,-20
167,2020,418,496,630,785,1060,Polk County,20210,650,AR,40,-0.030769,-20
168,2020,480,498,656,946,973,Pope County,63370,698,AR,40,-0.060172,-42
169,2020,459,478,630,785,908,Prairie County,8310,650,AR,40,-0.030769,-20
170,2020,640,688,804,1082,1267,Pulaski County,392850,831,AR,40,-0.032491,-27
171,2020,459,478,630,817,908,Randolph County,17515,650,AR,40,-0.030769,-20
172,2020,425,478,630,909,1086,St. Francis County,26690,650,AR,40,-0.030769,-20
173,2020,640,688,804,1082,1267,Saline County,116250,831,AR,40,-0.032491,-27
174,2020,459,478,630,785,908,Scott County,10585,650,AR,40,-0.030769,-20
175,2020,459,500,630,883,908,Searcy County,7925,650,AR,40,-0.030769,-20
176,2020,498,521,686,950,1121,Sebastian County,127360,700,AR,40,-0.02,-14
177,2020,410,526,630,785,908,Sevier County,17205,650,AR,40,-0.030769,-20
178,2020,410,482,630,836,945,Sharp County,17040,650,AR,40,-0.030769,-20
179,2020,461,481,633,789,858,Stone County,12445,650,AR,40,-0.026154,-17
180,2020,539,555,632,901,1105,Union County,40020,650,AR,40,-0.027692,-18
181,2020,468,488,643,801,871,Van Buren County,16750,650,AR,40,-0.010769,-7
182,2020,584,630,807,1149,1417,Washington County,223685,758,AR,40,0.064643799,49
183,2020,494,537,678,943,1190,White County,78705,689,AR,40,-0.015965,-11
184,2020,418,490,630,785,853,Woodruff County,6765,650,AR,40,-0.030769,-20
185,2020,534,536,630,832,996,Yell County,21600,650,AR,40,-0.030769,-20
186,2020,1488,1808,2239,3042,3720,Alameda County,1629615,2126,CA,40,0.0531515,113
187,2020,685,778,1014,1457,1617,Alpine County,1205,965,CA,40,0.0507772,49
188,2020,851,856,1128,1627,1908,Amador County,37305,1084,CA,40,0.0405904,44
189,2020,761,842,1090,1567,1881,Butte County,225205,1144,CA,40,-0.047203,-54
190,2020,668,849,988,1425,1735,Calaveras County,45055,930,CA,40,0.0623656,58
191,2020,634,712,938,1353,1647,Colusa County,21480,893,CA,40,0.0503919,45
192,2020,1488,1808,2239,3042,3720,Contra Costa County,1123680,2126,CA,40,0.0531515,113
193,2020,661,775,978,1369,1571,Del Norte County,27440,945,CA,40,0.0349206,33
194,2020,952,1072,1349,1946,2368,El Dorado County,185015,1220,CA,40,0.105737705,129
195,2020,691,787,980,1395,1621,Fresno County,971615,956,CA,40,0.0251046,24
196,2020,597,670,883,1100,1196,Glenn County,27935,836,CA,40,0.0562201,47
197,2020,687,806,1040,1500,1797,Humboldt County,135490,998,CA,40,0.0420842,42
198,2020,669,781,1027,1365,1744,Imperial County,179955,953,CA,40,0.077649528,74
199,2020,783,788,973,1313,1318,Inyo County,18195,929,CA,40,0.0473628,44
200,2020,711,726,946,1365,1624,Kern County,878745,926,CA,40,0.0215983,20
201,2020,841,861,1064,1535,1647,Kings County,150185,987,CA,40,0.078014184,77
202,2020,662,773,1016,1466,1567,Lake County,64095,960,CA,40,0.0583333,56
203,2020,609,684,901,1300,1403,Lassen County,31470,848,CA,40,0.0625,53
204,2020,1279,1517,1956,2614,2857,Los Angeles County,10105720,1791,CA,40,0.092127303,165
205,2020,833,839,1105,1584,1717,Madera County,154440,1020,CA,40,0.083333333,85
206,2020,2197,2720,3339,4365,4657,Marin County,260815,3170,CA,40,0.0533123,169
207,2020,716,804,1059,1376,1859,Mariposa County,17660,973,CA,40,0.088386434,86
208,2020,805,892,1173,1659,1932,Mendocino County,87495,1078,CA,40,0.08812616,95
209,2020,651,782,947,1366,1652,Merced County,267390,839,CA,40,0.128724672,108
210,2020,520,585,770,1062,1228,Modoc County,9015,700,CA,40,0.1,70
211,2020,872,979,1290,1699,2058,Mono County,14060,1250,CA,40,0.032,40
212,2020,1334,1467,1810,2606,2834,Monterey County,433170,1540,CA,40,0.175324675,270
213,2020,1225,1427,1880,2712,2803,Napa County,141005,1705,CA,40,0.102639296,175
214,2020,856,998,1314,1896,2052,Nevada County,98840,1211,CA,40,0.085053675,103
215,2020,1563,1785,2216,3098,3578,Orange County,3155815,2037,CA,40,0.087874325,179
216,2020,952,1072,1349,1946,2368,Placer County,374985,1220,CA,40,0.105737705,129
217,2020,619,722,916,1250,1453,Plumas County,18725,899,CA,40,0.0189099,17
218,2020,875,1030,1289,1789,2216,Riverside County,2355000,1232,CA,40,0.0462662,57
219,2020,952,1072,1349,1946,2368,Sacramento County,1495400,1220,CA,40,0.105737705,129
220,2020,1290,1298,1710,2467,3002,San Benito County,58670,1750,CA,40,-0.022857,-40
221,2020,875,1030,1289,1789,2216,San Bernardino County,2121220,1232,CA,40,0.0462662,57
222,2020,1404,1566,2037,2894,3576,San Diego County,3283665,2068,CA,40,-0.01499,-31
223,2020,2197,2720,3339,4365,4657,San Francisco County,864265,3170,CA,40,0.0533123,169
224,2020,745,869,1144,1650,2009,San Joaquin County,724155,1092,CA,40,0.047619,52
225,2020,1153,1275,1657,2390,2909,San Luis Obispo County,280120,1542,CA,40,0.07457847,115
226,2020,2197,2720,3339,4365,4657,San Mateo County,763450,3170,CA,40,0.0533123,169
227,2020,1684,1964,2324,3101,3572,Santa Barbara County,442995,1951,CA,40,0.191184008,373
228,2020,2103,2458,2970,3943,4525,Santa Clara County,1911225,2839,CA,40,0.046143,131
229,2020,1641,1913,2519,3342,3746,Santa Cruz County,273265,2439,CA,40,0.0328003,80
230,2020,630,744,966,1394,1696,Shasta County,178920,980,CA,40,-0.014286,-14
231,2020,858,975,1270,1825,2026,Sierra County,2885,1294,CA,40,-0.018547,-24
